"","Faculty","N"
"215","Maner, Jon",6
"216","Merkley, Greg",6
"217","Moreira, Sara",6
"218","Ponticelli, Jacopo",6
"219","Ramesh, Sampath",6
"220","Sapienza, Paola",6
"221","Schummer, James",6
"222","Sorensen, Juliet",6
"223","Swaminathan, Bhaskaran",6
"224","Swinkels, Jeroen",6
"225","Todorov, Viktor",6
"226","Tuchman, Anna",6
"227","Ward, John",6
"228","Weinfurter, Daniel",6
"229","Youn, Hyejin",6
"230","Zajac, Edward",6
"231","Egorov, Georgy",5
"232","Gurvich, Itai",5
"233","Johnson, Garrett",5
"234","Katakam, Raghu",5
"235","Morehead, Brad",5
"236","O'Toole, Thomas",5
"237","Reich, Bryony",5
"238","Wieandt, Axel",5
"239","Alguindigue, Israel",4
"240","Angelson, Mark",4
"241","Barrette, Eric",4
"242","Boissonnault, Bruce",4
"243","Braverman, Anton",4
"244","Chopra, Sunil",4
"245","Christensen, Paul",4
"246","Cohn, Lynn",4
"247","Copulsky, Jonathan",4
"248","Dana, David",4
"249","Deserranno, Erika",4
"250","Dye, Ronald",4
"251","Fadem, Terry",4
"252","Fong, Gina",4
"253","Frydman, Carola",4
"254","Goldsmith, Kelly",4
"255","Hu, Danqi",4
"256","Hur, Julia",4
"257","Hwang, Seok Hyun",4
"258","Johnston, Melanie",4
"259","Khosla, Sanjay",4
"260","Lu, Xiaoyuan",4
"261","Moore, Michael",4
"262","Muchin, Suzanne",4
"263","Murnighan, J. Keith",4
"264","Muscarello, Frank",4
"265","Nasiry, Javad",4
"266","Nordgren, Loran",4
"267","Nordhielm, Christie",4
"268","Parkinson, Thomas",4
"269","Perkins, Susan",4
"270","Preston, Malcolm",4
"271","Rivera, Lauren",4
"272","Ruttan, Rachel",4
"273","Sridharan, Swaminathan",4
"274","Weinstein, James",4
"275","Weller, Brian",4
"276","Wrigley, Desiree",4
"277","Ziegler, Elizabeth",4
"278","Campbell, Paul",3
"279","Colyvas, Jeannette",3
"280","Darragh, Linda",3
"281","Hagerty, Kathleen",3
"282","Hyman, Jeffrey",3
"283","Maruster, Sorin",3
"284","O'Connor, Karin",3
"285","Soffer, Robin",3
"286","Starc, Amanda",3
"287","Tybout, Alice",3
"288","Amromin, Gene",2
"289","Anderson, James",2
"290","Barron, Daniel",2
"291","Berger, Gail",2
"292","Boepple, Jack",2
"293","Brendl, C. Miguel",2
"294","Carrel, Alyson",2
"295","Corse, Phillip",2
"296","Engel, Ellen",2
"297","Israel, Ronen",2
"298","Nelson Mondragon, John",2
"299","Raider, Holly",2
"300","Russo, Daniel",2
"301","Saul, Jason",2
"302","Shamir, Noam",2
"303","Uckun Adelman, Canan",2
"304","Wagman, Liad",2
"305","Dafny, Leemore",1
"306","Dong, Ping",1
"307","Leitzinger, Jocelyn",1
"308","Magee, Robert",1
"309","Mauskapf, Michael",1
"310","Murphy, Todd",1
"311","Pamphile, Vontrese",1
